,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
279470,1661780700000,1498.77000000,1500.00000000,1490.06000000,1492.57000000,5028.08040000,1661780999999,7519220.63618000,8142,2178.74390000,3258804.92707900,0
279471,1661781000000,1492.57000000,1496.50000000,1492.52000000,1495.65000000,3100.23420000,1661781299999,4633619.58072900,5066,1400.34880000,2092754.61074700,0
279472,1661781300000,1495.65000000,1503.60000000,1495.65000000,1496.02000000,11629.54930000,1661781599999,17443702.02569300,10980,3788.50080000,5683390.36636100,0
279473,1661781600000,1496.02000000,1501.00000000,1495.01000000,1500.05000000,5165.58520000,1661781899999,7736240.10387000,6909,2729.80770000,4088542.78608600,0
279474,1661781900000,1500.04000000,1521.52000000,1499.18000000,1509.37000000,19543.62360000,1661782199999,29525646.10330100,19665,11971.08790000,18082966.66298800,0
279475,1661782200000,1509.33000000,1518.66000000,1509.21000000,1512.09000000,7531.35760000,1661782499999,11394680.27492100,10566,3585.99590000,5425955.02222200,0
279476,1661782500000,1512.09000000,1519.29000000,1511.99000000,1517.31000000,5796.38700000,1661782799999,8787642.28247600,9066,2663.84350000,4038688.60628100,0
279477,1661782800000,1517.31000000,1531.37000000,1516.95000000,1525.31000000,15217.38990000,1661783099999,23210526.97026400,17059,8941.43790000,13639268.60399100,0
279478,1661783100000,1525.32000000,1528.10000000,1518.41000000,1518.42000000,7790.26470000,1661783399999,11864481.91330200,9034,4289.71060000,6532000.21106500,0
279479,1661783400000,1518.41000000,1526.43000000,1515.06000000,1518.30000000,7160.06870000,1661783699999,10886498.04893000,8471,3613.35370000,5494062.72723000,0
279480,1661783700000,1518.29000000,1521.99000000,1513.76000000,1514.00000000,5191.91220000,1661783999999,7876430.35572500,7397,2405.68570000,3651022.53219100,0
279481,1661784000000,1513.99000000,1520.76000000,1513.64000000,1519.55000000,4956.39820000,1661784299999,7520774.16177300,6885,3156.54890000,4789710.03326000,0
279482,1661784300000,1519.56000000,1521.45000000,1515.25000000,1516.37000000,3477.52620000,1661784599999,5279322.69458800,5225,1612.86080000,2448793.64686700,0
279483,1661784600000,1516.37000000,1519.21000000,1510.03000000,1511.08000000,4582.76380000,1661784899999,6944225.44309800,5999,1978.20420000,2997847.16071600,0
279484,1661784900000,1511.08000000,1511.71000000,1504.81000000,1510.29000000,8267.80590000,1661785199999,12474281.94820000,7713,3714.79180000,5604569.48068500,0
279485,1661785200000,1510.28000000,1520.00000000,1509.57000000,1517.30000000,5431.64500000,1661785499999,8231596.08158200,6141,2900.76800000,4397037.86052100,0
279486,1661785500000,1517.30000000,1518.13000000,1511.57000000,1516.36000000,2372.10160000,1661785799999,3592964.52449400,3522,1225.91280000,1856885.81498100,0
279487,1661785800000,1516.35000000,1516.77000000,1513.78000000,1516.43000000,2262.78170000,1661786099999,3428995.92941300,3244,1148.96970000,1741053.94816500,0
279488,1661786100000,1516.43000000,1518.95000000,1514.81000000,1516.12000000,2019.39930000,1661786399999,3063034.50398200,3156,1131.32030000,1716031.36415500,0
279489,1661786400000,1516.11000000,1520.94000000,1513.62000000,1519.95000000,3549.91060000,1661786699999,5386230.39356900,4161,1937.76590000,2940835.25246100,0
279490,1661786700000,1519.95000000,1522.55000000,1517.56000000,1518.36000000,3103.64200000,1661786999999,4716687.44136300,4188,1890.31500000,2872807.03707400,0
279491,1661787000000,1518.36000000,1526.35000000,1517.87000000,1525.59000000,3829.21100000,1661787299999,5826881.97746100,5101,2285.10830000,3477223.34874300,0
279492,1661787300000,1525.58000000,1530.55000000,1523.11000000,1525.47000000,4767.25300000,1661787599999,7280012.70707300,5946,2346.14520000,3583351.76321800,0
279493,1661787600000,1525.48000000,1525.48000000,1516.30000000,1516.35000000,2791.20320000,1661787899999,4245978.88740800,3974,1152.52280000,1752997.15875600,0
279494,1661787900000,1516.31000000,1520.96000000,1515.20000000,1519.37000000,1875.97290000,1661788199999,2849064.93116300,3105,970.64490000,1474068.71955200,0
279495,1661788200000,1519.36000000,1520.89000000,1517.65000000,1519.83000000,1535.33180000,1661788499999,2333183.90490200,2526,805.73390000,1224414.05339200,0
279496,1661788500000,1519.83000000,1522.93000000,1519.37000000,1521.89000000,2165.95730000,1661788799999,3294283.48733900,2862,1115.24240000,1696125.74104700,0
279497,1661788800000,1521.88000000,1535.00000000,1519.97000000,1533.59000000,8034.54910000,1661789099999,12265312.93490400,7333,5008.45480000,7647470.45526100,0
279498,1661789100000,1533.69000000,1537.00000000,1528.25000000,1530.90000000,11501.43350000,1661789399999,17619393.75406200,9263,5754.83240000,8818218.34799000,0
279499,1661789400000,1530.91000000,1538.23000000,1529.37000000,1533.18000000,5980.14110000,1661789699999,9175951.43251200,7414,3036.87160000,4659854.07971600,0
279500,1661789700000,1533.18000000,1537.18000000,1532.75000000,1533.02000000,3523.80010000,1661789999999,5406887.59434300,5185,1583.94350000,2430212.58433200,0
279501,1661790000000,1533.02000000,1534.48000000,1529.10000000,1531.20000000,4314.42600000,1661790299999,6606929.92670300,5764,2048.23430000,3136368.36837000,0
279502,1661790300000,1531.20000000,1531.67000000,1527.49000000,1529.91000000,3270.30780000,1661790599999,5002272.25809600,4261,1403.56790000,2147045.88736900,0
279503,1661790600000,1529.91000000,1530.12000000,1522.98000000,1523.05000000,3387.30430000,1661790899999,5171414.01329400,4394,1262.24240000,1927176.36787800,0
279504,1661790900000,1523.04000000,1526.73000000,1523.04000000,1524.73000000,2319.14480000,1661791199999,3536744.53669900,3025,1224.00390000,1866566.01544500,0
279505,1661791200000,1524.72000000,1526.30000000,1523.45000000,1524.97000000,3195.93760000,1661791499999,4873910.99807000,2727,2153.07410000,3283433.75335900,0
279506,1661791500000,1524.98000000,1532.37000000,1523.58000000,1530.97000000,2942.77810000,1661791799999,4498497.56623900,3680,1743.13770000,2664634.59521200,0
279507,1661791800000,1530.97000000,1545.00000000,1529.73000000,1539.19000000,9338.67610000,1661792099999,14369233.29421200,9385,5267.68600000,8106777.26470500,0
279508,1661792100000,1539.18000000,1539.19000000,1534.72000000,1537.94000000,2105.28050000,1661792399999,3235424.91099100,3591,1185.13350000,1821239.79973900,0
279509,1661792400000,1537.95000000,1540.84000000,1535.58000000,1536.04000000,2410.46380000,1661792699999,3707661.15739200,4186,1213.46630000,1866478.25876200,0
279510,1661792700000,1536.04000000,1536.53000000,1533.52000000,1533.72000000,2500.58860000,1661792999999,3838555.39187200,3545,1138.26960000,1747285.82070800,0
279511,1661793000000,1533.72000000,1534.52000000,1527.93000000,1528.51000000,3186.86830000,1661793299999,4878843.75534300,4204,1189.60680000,1821017.08969100,0
279512,1661793300000,1528.52000000,1529.23000000,1523.26000000,1525.00000000,2984.24090000,1661793599999,4554619.36630600,4178,1154.06910000,1761320.18685300,0
279513,1661793600000,1525.00000000,1528.44000000,1524.99000000,1527.32000000,1418.45520000,1661793899999,2165756.17700000,2671,883.00960000,1348233.66919600,0
279514,1661793900000,1527.31000000,1531.50000000,1525.98000000,1530.63000000,2030.71260000,1661794199999,3106852.80984800,2704,1262.79600000,1932068.39204300,0
279515,1661794200000,1530.64000000,1537.38000000,1529.12000000,1535.28000000,2992.58090000,1661794499999,4590989.70672900,3704,1561.62010000,2395263.02874200,0
279516,1661794500000,1535.27000000,1536.56000000,1532.09000000,1533.46000000,1908.84490000,1661794799999,2929018.53049800,2979,931.51370000,1429372.63530300,0
279517,1661794800000,1533.45000000,1539.00000000,1532.12000000,1537.16000000,1874.77440000,1661795099999,2880064.54857000,3093,965.68140000,1483292.99908400,0
279518,1661795100000,1537.17000000,1542.64000000,1536.20000000,1536.22000000,2695.32030000,1661795399999,4149730.57497300,4534,1359.54270000,2093153.56195000,0
279519,1661795400000,1536.23000000,1539.89000000,1535.71000000,1538.96000000,1247.38750000,1661795699999,1919318.91382600,2684,734.60510000,1130297.66052300,0
279520,1661795700000,1538.96000000,1544.84000000,1537.57000000,1542.86000000,2853.75890000,1661795999999,4397050.00836500,3797,1254.37540000,1932599.56924900,0
279521,1661796000000,1542.86000000,1543.50000000,1537.28000000,1537.83000000,2722.21590000,1661796299999,4193155.35467400,4204,1379.38890000,2124361.35254300,0
279522,1661796300000,1537.83000000,1541.99000000,1536.88000000,1537.60000000,1603.21960000,1661796599999,2467266.01119100,3026,702.23500000,1080671.85812600,0
279523,1661796600000,1537.60000000,1538.37000000,1533.54000000,1534.95000000,2420.38360000,1661796899999,3717966.87849100,3369,974.19090000,1496513.48890400,0
279524,1661796900000,1534.95000000,1535.31000000,1530.52000000,1531.53000000,2557.24400000,1661797199999,3919713.96604000,3431,1103.53150000,1691256.52047500,0
279525,1661797200000,1531.53000000,1534.33000000,1529.50000000,1533.40000000,2074.48990000,1661797499999,3178127.19848500,3097,1202.79500000,1843068.27623600,0
279526,1661797500000,1533.40000000,1534.94000000,1530.76000000,1531.05000000,1190.97400000,1661797799999,1825760.26899100,2193,390.77010000,599240.06892300,0
279527,1661797800000,1531.05000000,1536.99000000,1530.72000000,1535.82000000,1868.23260000,1661798099999,2865446.27014800,2698,1019.06010000,1562962.56341100,0
279528,1661798100000,1535.82000000,1540.38000000,1534.50000000,1537.87000000,2106.98390000,1661798399999,3241321.94883800,3329,1275.74170000,1962512.29436400,0
279529,1661798400000,1537.87000000,1540.37000000,1537.71000000,1538.82000000,1213.85430000,1661798699999,1868412.01700500,2307,522.30680000,803913.23289500,0
279530,1661798700000,1538.81000000,1538.82000000,1535.04000000,1536.86000000,1092.90610000,1661798999999,1679340.21447000,2141,415.47090000,638370.73336200,0
279531,1661799000000,1536.86000000,1536.87000000,1532.66000000,1533.52000000,1866.25850000,1661799299999,2862887.90225700,2746,726.60540000,1114437.14564000,0
279532,1661799300000,1533.52000000,1533.52000000,1527.64000000,1532.20000000,3023.24370000,1661799599999,4624497.73925600,3867,1170.10040000,1790035.17149800,0
279533,1661799600000,1532.21000000,1537.79000000,1531.62000000,1536.43000000,2155.44490000,1661799899999,3308012.72796700,3469,968.38220000,1486129.36411400,0
279534,1661799900000,1536.44000000,1536.96000000,1533.04000000,1534.43000000,1157.52250000,1661800199999,1776220.32062500,2084,557.57630000,855595.75913200,0
279535,1661800200000,1534.43000000,1537.77000000,1532.33000000,1535.61000000,1439.27690000,1661800499999,2209491.53952200,2529,725.15780000,1113047.52967600,0
279536,1661800500000,1535.62000000,1539.04000000,1534.19000000,1534.85000000,1918.24560000,1661800799999,2948454.84345500,2866,915.68530000,1407359.08410500,0
279537,1661800800000,1534.85000000,1536.37000000,1533.35000000,1534.10000000,1030.84710000,1661801099999,1582189.70565600,2325,419.19740000,643377.97886100,0
279538,1661801100000,1534.09000000,1534.10000000,1526.03000000,1529.80000000,3672.78510000,1661801399999,5616498.98904300,4425,1639.28910000,2506476.31936600,0
279539,1661801400000,1529.80000000,1532.49000000,1527.56000000,1531.08000000,2342.33070000,1661801699999,3583624.72787200,3310,1085.51920000,1660904.31837200,0
279540,1661801700000,1531.09000000,1534.69000000,1530.76000000,1533.41000000,1175.51110000,1661801999999,1801436.49435000,2074,537.14600000,823116.63257900,0
279541,1661802000000,1533.40000000,1534.63000000,1532.20000000,1533.03000000,1182.48330000,1661802299999,1813281.83867900,2088,448.64210000,687822.07391600,0
279542,1661802300000,1533.03000000,1533.04000000,1530.18000000,1532.84000000,1968.23290000,1661802599999,3014417.53623700,2777,769.38570000,1178418.50623000,0
279543,1661802600000,1532.84000000,1534.26000000,1528.27000000,1531.10000000,2101.80940000,1661802899999,3218301.11387400,3150,774.33850000,1185574.42221900,0
279544,1661802900000,1531.09000000,1531.62000000,1529.74000000,1531.36000000,1785.57750000,1661803199999,2732446.08374600,2565,1240.60020000,1898340.62002700,0
279545,1661803200000,1531.36000000,1533.66000000,1529.21000000,1533.10000000,4286.60430000,1661803499999,6563398.68463300,4151,2378.39440000,3641136.99383200,0
279546,1661803500000,1533.10000000,1541.89000000,1533.09000000,1540.07000000,6081.29360000,1661803799999,9354422.81677800,7672,3934.58500000,6051603.33784700,0
279547,1661803800000,1540.07000000,1548.98000000,1539.35000000,1547.60000000,6325.58150000,1661804099999,9780186.84922700,8585,3350.14850000,5179195.04841100,0
279548,1661804100000,1547.59000000,1553.76000000,1537.75000000,1538.56000000,9369.18350000,1661804399999,14486710.42366000,9426,4867.12430000,7527678.37110200,0
279549,1661804400000,1538.55000000,1542.00000000,1538.55000000,1538.91000000,1522.38900000,1661804699999,2345615.67308300,2663,812.13550000,1251106.77944800,0
279550,1661804700000,1538.90000000,1540.90000000,1538.59000000,1540.55000000,879.30870000,1661804999999,1353751.93379100,1848,413.06050000,635886.20039300,0
279551,1661805000000,1540.55000000,1541.24000000,1536.93000000,1540.57000000,1201.18690000,1661805299999,1848482.65068100,2098,600.90250000,924695.96577700,0
279552,1661805300000,1540.56000000,1542.98000000,1539.84000000,1542.37000000,1198.89060000,1661805599999,1848458.35698100,1805,774.32350000,1193835.65456200,0
279553,1661805600000,1542.36000000,1543.50000000,1539.68000000,1541.72000000,832.16180000,1661805899999,1282563.94604300,1861,387.75480000,597576.82266700,0
279554,1661805900000,1541.72000000,1547.06000000,1540.57000000,1545.22000000,2301.12210000,1661806199999,3551959.48190500,3062,1038.74470000,1603692.05260100,0
279555,1661806200000,1545.17000000,1546.27000000,1543.02000000,1544.62000000,1569.19110000,1661806499999,2423565.08757100,2125,666.12990000,1028725.63758600,0
